Date,Uptime (%),Downtime (%),Response (millisecs),AISP response (millisecs),PISP response (millisecs),CBPII/PISP Yes/No response (millisecs),Error response rate (%)
25-Jul-25,100,0,488,0,0,0,0
26-Jul-25,100,0,307,0,0,0,0
27-Jul-25,100,0,334,0,0,0,0
28-Jul-25,100,0,511,0,0,0,0
29-Jul-25,100,0,540,0,0,0,0
30-Jul-25,100,0,504,0,0,0,0
31-Jul-25,100,0,497,0,0,0,0
01-Aug-25,100,0,518,0,0,0,0
02-Aug-25,100,0,290,0,0,0,0
03-Aug-25,100,0,284,0,0,0,0
04-Aug-25,100,0,574,0,0,0,0
05-Aug-25,100,0,520,0,0,0,0
06-Aug-25,100,0,511,0,0,0,0
07-Aug-25,100,0,514,0,0,0,0
08-Aug-25,100,0,533,0,0,0,0
09-Aug-25,100,0,342,0,0,0,0
10-Aug-25,100,0,360,0,0,0,0
11-Aug-25,100,0,543,0,0,0,0
12-Aug-25,100,0,540,0,0,0,0
13-Aug-25,100,0,566,0,0,0,0
14-Aug-25,100,0,565,0,0,0,0
15-Aug-25,100,0,530,0,0,0,0
16-Aug-25,100,0,298,0,0,0,0
17-Aug-25,100,0,301,0,0,0,0
18-Aug-25,100,0,559,0,0,0,0
19-Aug-25,100,0,537,0,0,0,0
20-Aug-25,100,0,575,0,0,0,0
21-Aug-25,100,0,647,0,0,0,0
22-Aug-25,100,0,675,0,0,0,0
23-Aug-25,100,0,333,0,0,0,0
24-Aug-25,100,0,355,0,0,0,0
25-Aug-25,100,0,741,0,0,0,0
26-Aug-25,100,0,638,0,0,0,0
27-Aug-25,100,0,562,0,0,0,0
28-Aug-25,100,0,636,0,0,0,0
29-Aug-25,100,0,644,0,0,0,0
30-Aug-25,100,0,395,0,0,0,0
31-Aug-25,100,0,349,0,0,0,0
01-Sep-25,100,0,585,0,0,0,0
02-Sep-25,100,0,642,0,0,0,0
03-Sep-25,100,0,592,0,0,0,0
04-Sep-25,100,0,596,0,0,0,0
05-Sep-25,100,0,604,0,0,0,0
06-Sep-25,100,0,392,0,0,0,0
07-Sep-25,100,0,286,0,0,0,0
08-Sep-25,100,0,629,0,0,0,0
09-Sep-25,100,0,756,0,0,0,0
10-Sep-25,100,0,612,0,0,0,0
11-Sep-25,100,0,595,0,0,0,0
12-Sep-25,100,0,625,0,0,0,0
13-Sep-25,100,0,513,0,0,0,0
14-Sep-25,100,0,284,0,0,0,0
15-Sep-25,100,0,616,0,0,0,0
16-Sep-25,100,0,629,0,0,0,0
17-Sep-25,100,0,573,0,0,0,0
18-Sep-25,100,0,583,0,0,0,0
19-Sep-25,100,0,596,0,0,0,0
20-Sep-25,100,0,448,0,0,0,0
21-Sep-25,100,0,315,0,0,0,0
22-Sep-25,100,0,578,0,0,0,0
23-Sep-25,100,0,597,0,0,0,0
24-Sep-25,100,0,660,0,0,0,0
25-Sep-25,100,0,584,0,0,0,0
26-Sep-25,100,0,618,0,0,0,0
27-Sep-25,100,0,349,0,0,0,0
28-Sep-25,100,0,426,0,0,0,0
29-Sep-25,100,0,585,0,0,0,0
30-Sep-25,100,0,622,0,0,0,0
,,,,,,,